title,author,type,language,url,why_relevant,status
History of the Development of Weaving Art in Karabakh in the XIX – Early XX Centuries,Telman Farman oghlu Musayev,dissertation,az/en,https://aak.gov.az/upload/dissertasion/tarix/Avtoreferat_-_TELMAN_MUSAYEV_-_AZ_(1)1.pdf,"Первое комплексное исследование развития ткацкого искусства Карабаха XIX-XX вв., включая этапы ковроткачества, роль Шушинской школы и трансформацию от домашнего ремесла к товарному производству","кандидат от литературного скаута, не подтверждён"
Rug Weaving Culture of Artsakh: Historico-ethnographic Illustrated Study,Ashkhunj Poghosyan,book,en,https://int-heritage.am/wp-content/uploads/2022/10/Rug-weaving-culture-of-Artsakh.pdf,"Систематическое этнографическое исследование с архивными источниками VII-XX вв., традициями ковроткачества, описанием центров производства, техники и символизма карабахских ковров","кандидат от литературного скаута, не подтверждён"
Каталог 'Карабахские ковры' (Фонд этнографии),Гюльзаде Абдулова,museum_catalog,ru/az,http://azhistorymuseum.gov.az/en/book/42,"Музейный каталог Национального музея истории Азербайджана с подробными сведениями о 150 экспонатах карабахских ковров, методах окрашивания, датировке и происхождении образцов","кандидат от литературного скаута, не подтверждён"
Karabakh carpet school and rare samples of Karabakh carpets in three museums of the world,Kubra Aliyeva,article,en,https://dergipark.anas.az/index.php/pac/article/view/2846,"Рецензируемая статья в журнале 'Problems of Arts and Culture' об особенностях карабахских ковров, влиянии Тебризской школы, европейских стилей и редких образцах в мировых музеях","кандидат от литературного скаута, не подтверждён"
Shusha Branch of the State Museum of Azerbaijani Carpet and Applied Arts Catalog,Ministry of Culture and Tourism of Azerbaijan / Azerbaijan Carpet Museum,museum_catalog,az/ru/en,https://science.gov.az/en/news/open/7265,"Каталог Шушинской филии музея ковра с информацией об истории Карабахского ханства и спасённых 183 экспонатах (ворсовых и безворсовых карабахских ковров, вышивок, костюмов)","кандидат от литературного скаута, не подтверждён"
"Knotted Pile Rugs of 19th and early 20th Centuries from Caucasia: A Classification of Area, Shape Ratio, Density and Knot Ratio by Statistic",Author(s) — technical/statistical study,article,en,https://doi.org/10.22259/2642-8237.0103003,"Рецензируемая статья с математической классификацией ширванских и кубинских ковров по техническим параметрам (плотность узлов, размер, форма); впервые применяет статистический метод для верификации классификаций Керимова и других ученых","кандидат от литературного скаута, не подтверждён"
"Knotted Pile Rugs of 19th and Early 20th Centuries from Caucasia: A Classification of Area, Shape Ratio, Density and Knot Ratio by Statistic Part II",Author(s) — technical/statistical study,article,en,https://doi.org/10.22259/2642-8237.0202002,Продолжение статистического анализа; разделяет кубинские и ширванские ковры на отдельные подгруппы на основе метрик плотности узлов и коэффициентов формы,"кандидат от литературного скаута, не подтверждён"
Data-driven Automatic Attribution of Azerbaijani Flat Woven Carpets,Research team — computational/machine learning approach,article,en,https://eprints.bournemouth.ac.uk/37814/1/Automatic_carpet_attribution_final.pdf,Современное научное исследование с применением компьютерных методов для классификации ширванских и кубинских ковров; систематизирует школы на основе художественных и технических характеристик,"кандидат от литературного скаута, не подтверждён"
Қуба halı üslûbunun tarihçesi və xüsusiyyətləri / История и характеристики стиля кубинских ковров,Ümbülbanu Hamidova,article,tr,https://dergipark.org.tr/en/download/article-file/28997,"Турецкая рецензируемая статья с региональной классификацией кубинских ковров (горные, холмистые, равнинные зоны); анализирует композиции, мотивы и технические особенности в сравнении с ширванской школой","кандидат от литературного скаута, не подтверждён"
Art Culture of Lezgin People - Carpet Weaving,Journal of Azerbaijan Traditions and Documentation (ATDD),article,en,https://doi.org/10.46868/atdd.2025.993,"Этнографическое исследование ковроткачества лезгинского народа северного Азербайджана, полевые исследования техник и традиций, роль ковров в культуре и быту","кандидат от литературного скаута, не подтверждён"
Traditional art of Azerbaijani carpet weaving in the Republic of Azerbaijan,UNESCO Representative List documentation,website,en,https://ich.unesco.org/en/RL/traditional-art-of-azerbaijani-carpet-weaving-in-the-republic-of-azerbaijan-00389,"Официальная документация ЮНЕСКО по нематериальному культурному наследию, этнографическое описание процессов, семейных традиций, ролей полов в производстве, социальных значений ковров","кандидат от литературного скаута, не подтверждён"
Livelihood and Foreign Trade in the South Caucasus during the Late Tsarist Russian Period: Economic Consequences of Carpet Weaving,статья в журнале Пейамдар-и Тариккхи (Historical Messages),article,en,https://historicalstudy.ihcs.ac.ir/article_10579_24bea84d52e6a1f8025e313c2ffff50a.pdf,"Оцифрованная научная статья с анализом архивных документов и торговой статистики 1860-1914, включая отчёты Кавказского кустарного комитета. Прямые данные о торговле азербайджанскими коврами (Куба, Шуша, Ширван) с Европой, экспортных объёмах и ценах.","кандидат от литературного скаута, не подтверждён"
«Об именах торгующих»: годовая ведомость Бакинского карантинно-таможенного правления за 1854 г.,автор-составитель на основе РГИА документов,article,ru,https://doi.org/10.31518/tktdr-35-2023-21,"Оцифрованный исторический документ с информацией о торговцах (российских и персидских подданных) с именами, объёмами и типами товаров. Содержит данные о торговле товарами, включая коврами, между Баку и Персией в XIX веке.","кандидат от литературного скаута, не подтверждён"
CARPETS xv. Caucasian Carpets,Richard E. Wright,website,en,https://www.iranicaonline.org/articles/carpets-xv/,"Оцифрованная энциклопедическая статья в Encyclopaedia Iranica с историческим анализом торговли кавказскими коврами в XIX-XX веках, опирающаяся на русские архивные источники, правительственные отчёты периода 1877-1920х годов.","кандидат от литературного скаута, не подтверждён"
Историко-этнографические аспекты изучения дагестанского ковроткачества,С.М. Гарунова,article,ru,https://cyberleninka.ru/article/n/istoriko-etnograficheskie-aspekty-izucheniya-dagestanskogo-kovrotkachestva,"Оцифрованная рецензируемая статья в CyberLeninka об истории дагестанского ковроткачества, торговле кавказскими коврами XV-XX веков, включении их в международную торговлю. Анализирует архивные источники и торговые связи Кавказа.","кандидат от литературного скаута, не подтверждён"
The 1820 Russian Survey of the Khanate of Shirvan: A Primary Source on the Demography and Economy of an Iranian Province Prior to Its Annexation by Russia,George A. Bournoutian (translator and editor),book,en,https://www.gibbtrust.org/the-1820-russian-survey-of-the-khanat-of-shirvan/,"Оцифрованный перевод первичного исторического документа 1820 года с экономическими и демографическими данными провинции Ширван, включающий информацию о ремёслах, доходах и хозяйственной деятельности, включая ковроткачество.","кандидат от литературного скаута, не подтверждён"
Problems of Artistic and Technological Heritage in the Azerbaijani Carpet Making,Mammadhuseyn Allahgulu Huseynov,article,en,https://aak.gov.az/upload/dissertasion/s_n_t_nasl_q/Avtoreferat_az_M%C3%89%E2%84%A2mm%C3%89%E2%84%A2dh%C3%83%C2%BCseyn_H%C3%83%C2%BCseynov1.pdf,"Диссертация на степень PhD (2023) об анализе художественно-технического наследия азербайджанского ковроткачества, включая материалы, методы, традиции, символику и мифологические мотивы в ковровом орнаменте","кандидат от литературного скаута, не подтверждён"
Artistic features of Azerbaijani and Turkish palace carpets,Gulshan Tofig Gasimzada,article,az,https://aak.gov.az/upload/dissertasion/s_n_t_nasl_q/Avtoreferat_az20.pdf,"Диссертация на степень PhD (2025) о художественных и композиционных особенностях дворцовых ковров Азербайджана и Турции, включает анализ орнаментики, технологии, влияния Табризской школы и роли азербайджанских мастеров","кандидат от литературного скаута, не подтверждён"
Artistic characteristics of new ornaments in Azerbaijan carpet art in the second half of the 20th century and the 21st century,Munevvar Azizeli Hajiyeva,article,en,https://elib.nlb.by/elib/Record/BY-NLB-br0002000440,"Диссертация на степень PhD (2025) об эволюции орнаментальных мотивов в современном азербайджанском ковроткачестве, анализирует новые композиции и их связь с традиционным наследием","кандидат от литературного скаута, не подтверждён"
Azerbaijan Carpet Museum (50th Anniversary Edition),"Shirin Y. Melikova (director), Editorial board: Teymur Bunyadov, Kubra Aliyeva et al.",museum_catalog,"az, en, ru",https://pubhtml5.com/gemc/xegj/carpet_museum_50/,"Официальный каталог Азербайджанского национального музея ковра (2017/2018); содержит подробное описание коллекции ковров Баку группы (Хила-бута, Хила-Афшан, Сураханы и др.) с техническими характеристиками, цветовой гаммой и региональными особенностями; включает ковры школы Мугань","кандидат от литературного скаута, не подтверждён"
CARPETS (OCAZ Documentation Project),не указан,website,en,https://1905.az/wp-content/uploads/2014/10/Xalcalar_OCAZ.pdf,"Этнографическая документация, включающая систематизацию азербайджанских ковровых школ; описывает технические характеристики ковров Мугани и Талыша (плотность узла 30х30 до 40х40, размеры, материалы), их региональные типы и отличительные черты","кандидат от литературного скаута, не подтверждён"
Художественный и технический анализ некоторых видов газахского ковра «Борчалы»,"С.Ш. Рзаева, Я.Р. Салимов",article,ru,https://doi.org/10.59103/muzkz.2024.07.03,"Научная статья из Азербайджанского национального музея ковра (2024) с методологией художественно-технического анализа; демонстрирует апробированный подход к атрибуции через анализ структуры медальона, орнаментальных форм и характеристик колорита, применимый к ковровым школам, включая соседствующие с Талышем и Мугането регионы","кандидат от литературного скаута, не подтверждён"
